year,id_match,match_number,stage,group,date_utc,match_status,result_type,home_team,away_team,home_name,away_name,home_score,away_score,home_penalties,away_penalties,winner,home_tactics,away_tactics,home_possession,away_possession,attendance,stadium,humidity,temperature,wind_speed,weather
1958,1387,20.0,Group Matches,Group 2,1958-06-15,0,1,FRA,SCO,France,Scotland,2.0,1.0,,,FRA,,,,,,Eyravallen,,,,
1958,1408,33.0,Group Matches,Group 3,1958-06-17,0,1,WAL,HUN,Wales,Hungary,2.0,1.0,,,WAL,,,,,,Rasunda Stadium,,,,
1958,1373,37.0,Group Matches,Group 4,1958-06-17,0,1,URS,ENG,Soviet Union,England,1.0,0.0,,,URS,,,,,,Nya Ullevi,,,,
1958,1422,39.0,Group Matches,Group 1,1958-06-17,0,3,NIR,TCH,Northern Ireland,Czechoslovakia,2.0,1.0,,,NIR,,,,,,Malmo Stadion,,,,
1958,1392,28.0,Quarter-final,,1958-06-19,0,1,FRG,YUG,Germany FR,Yugoslavia,1.0,0.0,,,FRG,,,,,,Malmo Stadion,,,,
1958,1437,25.0,Quarter-final,,1958-06-19,0,1,SWE,URS,Sweden,Soviet Union,2.0,0.0,,,SWE,,,,,,Rasunda Stadium,,,,
1958,1345,27.0,Quarter-final,,1958-06-19,0,1,BRA,WAL,Brazil,Wales,1.0,0.0,,,BRA,,,,,,Nya Ullevi,,,,
1958,1385,26.0,Quarter-final,,1958-06-19,0,1,FRA,NIR,France,Northern Ireland,4.0,0.0,,,FRA,,,,,,Idrottsparken,,,,
1958,1340,29.0,Semi-final,,1958-06-24,0,1,BRA,FRA,Brazil,France,5.0,2.0,,,BRA,,,,,,Rasunda Stadium,,,,
1958,1390,30.0,Semi-final,,1958-06-24,0,1,SWE,FRG,Sweden,Germany FR,3.0,1.0,,,SWE,,,,,,Nya Ullevi,,,,
1958,1382,31.0,Match for third place,,1958-06-28,0,1,FRA,FRG,France,Germany FR,6.0,3.0,,,FRA,,,,,,Nya Ullevi,,,,
